x_1,x_2,u_pred
0.000000000000000000e+00,1.016000000000000014e+01,-1.369714736938476562e-04
0.000000000000000000e+00,1.005737373737373730e+01,3.695487976074218750e-06
0.000000000000000000e+00,9.954747474747474456e+00,9.846687316894531250e-05
0.000000000000000000e+00,9.852121212121211613e+00,1.559257507324218750e-04
0.000000000000000000e+00,9.749494949494948770e+00,1.842975616455078125e-04
0.000000000000000000e+00,9.646868686868687703e+00,1.893043518066406250e-04
0.000000000000000000e+00,9.544242424242424860e+00,1.775026321411132812e-04
0.000000000000000000e+00,9.441616161616162017e+00,1.538991928100585938e-04
0.000000000000000000e+00,9.338989898989899174e+00,1.237392425537109375e-04
0.000000000000000000e+00,9.236363636363636331e+00,8.988380432128906250e-05
0.000000000000000000e+00,9.133737373737373488e+00,5.567073822021484375e-05
0.000000000000000000e+00,9.031111111111110645e+00,2.312660217285156250e-05
0.000000000000000000e+00,8.928484848484849579e+00,-5.245208740234375000e-06
0.000000000000000000e+00,8.825858585858586736e+00,-2.992153167724609375e-05
0.000000000000000000e+00,8.723232323232323893e+00,-4.911422729492187500e-05
0.000000000000000000e+00,8.620606060606061050e+00,-6.282329559326171875e-05
0.000000000000000000e+00,8.517979797979798207e+00,-7.104873657226562500e-05
0.000000000000000000e+00,8.415353535353535364e+00,-7.450580596923828125e-05
0.000000000000000000e+00,8.312727272727272521e+00,-7.379055023193359375e-05
0.000000000000000000e+00,8.210101010101009678e+00,-7.021427154541015625e-05
0.000000000000000000e+00,8.107474747474746835e+00,-6.306171417236328125e-05
0.000000000000000000e+00,8.004848484848483992e+00,-5.495548248291015625e-05
0.000000000000000000e+00,7.902222222222222925e+00,-4.613399505615234375e-05
0.000000000000000000e+00,7.799595959595960082e+00,-3.743171691894531250e-05
0.000000000000000000e+00,7.696969696969697239e+00,-2.908706665039062500e-05
0.000000000000000000e+00,7.594343434343434396e+00,-2.288818359375000000e-05
0.000000000000000000e+00,7.491717171717171553e+00,-1.811981201171875000e-05
0.000000000000000000e+00,7.389090909090909598e+00,-1.597404479980468750e-05
0.000000000000000000e+00,7.286464646464646755e+00,-1.561641693115234375e-05
0.000000000000000000e+00,7.183838383838383912e+00,-1.776218414306640625e-05
0.000000000000000000e+00,7.081212121212121957e+00,-2.241134643554687500e-05
0.000000000000000000e+00,6.978585858585859114e+00,-2.801418304443359375e-05
0.000000000000000000e+00,6.875959595959596271e+00,-3.504753112792968750e-05
0.000000000000000000e+00,6.773333333333333428e+00,-4.303455352783203125e-05
0.000000000000000000e+00,6.670707070707070585e+00,-5.125999450683593750e-05
0.000000000000000000e+00,6.568080808080808630e+00,-5.841255187988281250e-05
0.000000000000000000e+00,6.465454545454545787e+00,-6.496906280517578125e-05
0.000000000000000000e+00,6.362828282828282944e+00,-6.985664367675781250e-05
0.000000000000000000e+00,6.260202020202020989e+00,-7.212162017822265625e-05
0.000000000000000000e+00,6.157575757575758146e+00,-7.236003875732421875e-05
0.000000000000000000e+00,6.054949494949495303e+00,-6.937980651855468750e-05
0.000000000000000000e+00,5.952323232323232460e+00,-6.318092346191406250e-05
0.000000000000000000e+00,5.849696969696969617e+00,-5.400180816650390625e-05
0.000000000000000000e+00,5.747070707070707662e+00,-4.160404205322265625e-05
0.000000000000000000e+00,5.644444444444444819e+00,-2.574920654296875000e-05
0.000000000000000000e+00,5.541818181818181976e+00,-7.748603820800781250e-06
0.000000000000000000e+00,5.439191919191920022e+00,1.299381256103515625e-05
0.000000000000000000e+00,5.336565656565657179e+00,3.552436828613281250e-05
0.000000000000000000e+00,5.233939393939394336e+00,5.912780761718750000e-05
0.000000000000000000e+00,5.131313131313131493e+00,8.261203765869140625e-05
0.000000000000000000e+00,5.028686868686868650e+00,1.066923141479492188e-04
0.000000000000000000e+00,4.926060606060606695e+00,1.295804977416992188e-04
0.000000000000000000e+00,4.823434343434343852e+00,1.503229141235351562e-04
0.000000000000000000e+00,4.720808080808081009e+00,1.689195632934570312e-04
0.000000000000000000e+00,4.618181818181819054e+00,1.839399337768554688e-04
0.000000000000000000e+00,4.515555555555556211e+00,1.952648162841796875e-04
0.000000000000000000e+00,4.412929292929293368e+00,2.020597457885742188e-04
0.000000000000000000e+00,4.310303030303030525e+00,2.046227455139160156e-04
0.000000000000000000e+00,4.207676767676767682e+00,2.017021179199218750e-04
0.000000000000000000e+00,4.105050505050505727e+00,1.934766769409179688e-04
0.000000000000000000e+00,4.002424242424242884e+00,1.801252365112304688e-04
0.000000000000000000e+00,3.899797979797980041e+00,1.617074012756347656e-04
0.000000000000000000e+00,3.797171717171718086e+00,1.387596130371093750e-04
0.000000000000000000e+00,3.694545454545455243e+00,1.116394996643066406e-04
0.000000000000000000e+00,3.591919191919192400e+00,8.046627044677734375e-05
0.000000000000000000e+00,3.489292929292929557e+00,4.661083221435546875e-05
0.000000000000000000e+00,3.386666666666666714e+00,1.114606857299804688e-05
0.000000000000000000e+00,3.284040404040404759e+00,-2.562999725341796875e-05
0.000000000000000000e+00,3.181414141414141916e+00,-6.222724914550781250e-05
0.000000000000000000e+00,3.078787878787879073e+00,-9.781122207641601562e-05
0.000000000000000000e+00,2.976161616161617118e+00,-1.310706138610839844e-04
0.000000000000000000e+00,2.873535353535354275e+00,-1.609325408935546875e-04
0.000000000000000000e+00,2.770909090909091432e+00,-1.866221427917480469e-04
0.000000000000000000e+00,2.668282828282828589e+00,-2.068877220153808594e-04
0.000000000000000000e+00,2.565656565656565746e+00,-2.203583717346191406e-04
0.000000000000000000e+00,2.463030303030303791e+00,-2.268552780151367188e-04
0.000000000000000000e+00,2.360404040404040948e+00,-2.261996269226074219e-04
0.000000000000000000e+00,2.257777777777778105e+00,-2.168416976928710938e-04
0.000000000000000000e+00,2.155151515151516151e+00,-1.990795135498046875e-04
0.000000000000000000e+00,2.052525252525253308e+00,-1.735687255859375000e-04
0.000000000000000000e+00,1.949898989898990465e+00,-1.400113105773925781e-04
0.000000000000000000e+00,1.847272727272727622e+00,-9.870529174804687500e-05
0.000000000000000000e+00,1.744646464646464779e+00,-5.102157592773437500e-05
0.000000000000000000e+00,1.642020202020201936e+00,1.430511474609375000e-06
0.000000000000000000e+00,1.539393939393939092e+00,5.817413330078125000e-05
0.000000000000000000e+00,1.436767676767678026e+00,1.164078712463378906e-04
