x_1,x_2,u_true
0.000000000000000000e+00,1.016000000000000014e+01,0.000000000000000000e+00
0.000000000000000000e+00,1.005737373737373730e+01,0.000000000000000000e+00
0.000000000000000000e+00,9.954747474747474456e+00,0.000000000000000000e+00
0.000000000000000000e+00,9.852121212121211613e+00,0.000000000000000000e+00
0.000000000000000000e+00,9.749494949494948770e+00,0.000000000000000000e+00
0.000000000000000000e+00,9.646868686868687703e+00,0.000000000000000000e+00
0.000000000000000000e+00,9.544242424242424860e+00,0.000000000000000000e+00
0.000000000000000000e+00,9.441616161616162017e+00,0.000000000000000000e+00
0.000000000000000000e+00,9.338989898989899174e+00,0.000000000000000000e+00
0.000000000000000000e+00,9.236363636363636331e+00,0.000000000000000000e+00
0.000000000000000000e+00,9.133737373737373488e+00,0.000000000000000000e+00
0.000000000000000000e+00,9.031111111111110645e+00,0.000000000000000000e+00
0.000000000000000000e+00,8.928484848484849579e+00,0.000000000000000000e+00
0.000000000000000000e+00,8.825858585858586736e+00,0.000000000000000000e+00
0.000000000000000000e+00,8.723232323232323893e+00,0.000000000000000000e+00
0.000000000000000000e+00,8.620606060606061050e+00,0.000000000000000000e+00
0.000000000000000000e+00,8.517979797979798207e+00,0.000000000000000000e+00
0.000000000000000000e+00,8.415353535353535364e+00,0.000000000000000000e+00
0.000000000000000000e+00,8.312727272727272521e+00,0.000000000000000000e+00
0.000000000000000000e+00,8.210101010101009678e+00,0.000000000000000000e+00
0.000000000000000000e+00,8.107474747474746835e+00,0.000000000000000000e+00
0.000000000000000000e+00,8.004848484848483992e+00,0.000000000000000000e+00
0.000000000000000000e+00,7.902222222222222925e+00,0.000000000000000000e+00
0.000000000000000000e+00,7.799595959595960082e+00,0.000000000000000000e+00
0.000000000000000000e+00,7.696969696969697239e+00,0.000000000000000000e+00
0.000000000000000000e+00,7.594343434343434396e+00,0.000000000000000000e+00
0.000000000000000000e+00,7.491717171717171553e+00,0.000000000000000000e+00
0.000000000000000000e+00,7.389090909090909598e+00,0.000000000000000000e+00
0.000000000000000000e+00,7.286464646464646755e+00,0.000000000000000000e+00
0.000000000000000000e+00,7.183838383838383912e+00,0.000000000000000000e+00
0.000000000000000000e+00,7.081212121212121957e+00,0.000000000000000000e+00
0.000000000000000000e+00,6.978585858585859114e+00,0.000000000000000000e+00
0.000000000000000000e+00,6.875959595959596271e+00,0.000000000000000000e+00
0.000000000000000000e+00,6.773333333333333428e+00,0.000000000000000000e+00
0.000000000000000000e+00,6.670707070707070585e+00,0.000000000000000000e+00
